date,Deces_CH,Deces_DE,Deces_FR,Deces_IT,Deces_US,GTrend_CH,GTrend_DE,GTrend_FR,GTrend_IT,GTrend_US,Guerisons_CH,Guerisons_DE,Guerisons_FR,Guerisons_IT,Guerisons_US,Infections_CH,Infections_DE,Infections_FR,Infections_IT,Infections_US
2019-12-16,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-18,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-19,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-20,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-22,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-23,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-24,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-26,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-27,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-28,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-29,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-30,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,1,2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,1,3,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,3,3,3,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,5,7,9,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,8,12,13,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,12,14,8,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,12,14,8,4,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,10,30,8,8,12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,9,24,7,7,11,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,10,23,9,14,12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,10,21,8,22,12,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,7,15,6,12,9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,7,14,6,8,8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,6,11,5,5,7,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,5,10,4,5,6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,5,9,4,4,6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,4,9,4,4,6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,5,9,5,4,6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,3.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,5,8,7,4,6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,3.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,5,7,6,4,5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,3.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,4,6,5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,3.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,4,6,4,5,5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,3.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,4,6,4,4,5,0.0,0.0,2.0,0.0,0.0,0.0,16.0,11.0,3.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,5,7,4,4,5,0.0,1.0,2.0,0.0,0.0,0.0,16.0,11.0,3.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,4,6,3,3,4,0.0,1.0,2.0,0.0,0.0,0.0,16.0,11.0,3.0,0.0
2020-02-15,0.0,0.0,1.0,0.0,0.0,4,7,4,4,4,0.0,1.0,4.0,0.0,0.0,0.0,16.0,12.0,3.0,0.0
2020-02-16,0.0,0.0,1.0,0.0,0.0,4,6,3,3,4,0.0,1.0,4.0,0.0,0.0,0.0,16.0,12.0,3.0,0.0
